Product Name,Column2,Price
Lenovo ThinkBook 14 Core i5 10th Gen - (8 GB/256 GB SSD/Windows 10 Pro) ThinkBook 14 IML Thin and Ligh...,/lenovo-thinkbook-14-core-i5-10th-gen-8-gb-256-gb-ssd-windows-10-pro-iml-thin-light-laptop/p/itm7eb4cb3d0bde7?pid=COMFU2JFAUXPTBWS&lid=LSTCOMFU2JFAUXPTBWSAFD0OZ&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFU2JFAUXPTBWS.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹46,990"
HP Pavilion x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1179TU 2 in 1 Laptop,/hp-pavilion-x360-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-14-dh1179tu-2-1-laptop/p/itm6fdcb974dae9e?pid=COMFU7ANCYD2WKZG&lid=LSTCOMFU7ANCYD2WKZG4HCRSF&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFU7ANCYD2WKZG.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹61,990"
Asus VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK582T Thin and Li...,/asus-vivobook-14-ryzen-5-hexa-core-4500u-8-gb-512-gb-ssd-windows-10-home-m413ia-ek582t-thin-light-laptop/p/itm8d1c44556be49?pid=COMFSKF9ZWGMFX4D&lid=LSTCOMFSKF9ZWGMFX4DEMHVKL&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFSKF9ZWGMFX4D.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹50,991"
HP 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-ck2018TU Thin and Light Laptop,/hp-14-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-14-ck2018tu-thin-light-laptop/p/itm0b2aab6f42997?pid=COMFVD2WVZWBNKZA&lid=LSTCOMFVD2WVZWBNKZABYRW7T&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFVD2WVZWBNKZA.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹47,490"
Lenovo ThinkPad Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home) ThinkPad E14 Thin and L...,/lenovo-thinkpad-core-i7-10th-gen-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-e14-thin-light-laptop/p/itm91a247a5f2729?pid=COMFVW9TKHKGFT8B&lid=LSTCOMFVW9TKHKGFT8B5VC1PR&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFVW9TKHKGFT8B.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹75,990"
Dell Vostro Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Vostro 3491 Thin and Light L...,/dell-vostro-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-3491-thin-light-laptop/p/itm721e6f9620f92?pid=COMFTZ8FD2UNBYFM&lid=LSTCOMFTZ8FD2UNBYFMC9F7C4&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFTZ8FD2UNBYFM.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹52,990"
HP Ryzen 5 Quad Core NA - (4 GB/256 GB SSD/DOS) 245 G7 Thin and Light Laptop,/hp-ryzen-5-quad-core-na-4-gb-256-gb-ssd-dos-245-g7-thin-light-laptop/p/itmcdd40300c4a7a?pid=COMFWEYZ5CB3G6QD&lid=LSTCOMFWEYZ5CB3G6QDNGX77F&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFWEYZ5CB3G6QD.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹31,490"
Lenovo Ideapad Gaming 3 Ryzen 7 Octa Core 4800H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graph...,/lenovo-ideapad-gaming-3-ryzen-7-octa-core-4800h-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-60-hz-15arh05-laptop/p/itmd9a95aacdb0ae?pid=COMFUXREZF4CJA7U&lid=LSTCOMFUXREZF4CJA7U7SBOWY&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFUXREZF4CJA7U.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹72,990"
HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Gefor...,/hp-pavilion-gaming-ryzen-5-quad-core-3550h-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-15-ec0101ax-laptop/p/itma1af6bf593dc8?pid=COMFSFNVDXG74QXR&lid=LSTCOMFSFNVDXG74QXRY8FRH2&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFSFNVDXG74QXR.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹54,990"
MSI Alpha 15 Ryzen 7 Quad Core 3750H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Ra...,/msi-alpha-15-ryzen-7-quad-core-3750h-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-amd-radeon-rx-5500m-a3dd-264in-gaming-laptop/p/itm8bd4ee63fafe7?pid=COMFUBTQXDDU2HFC&lid=LSTCOMFUBTQXDDU2HFCPNYK9H&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFUBTQXDDU2HFC.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹69,990"
Asus VivoBook 15 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) X543UA-DM342T Laptop,/asus-vivobook-15-core-i3-7th-gen-4-gb-1-tb-hdd-windows-10-home-x543ua-dm342t-laptop/p/itma5ff8b7bbe30b?pid=COMFZJWEHPTXGXZS&lid=LSTCOMFZJWEHPTXGXZSKDQLGI&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFZJWEHPTXGXZS.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹30,990"
HP Pavilion x360 Core i7 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) 14-dh0112T...,/hp-pavilion-x360-core-i7-8th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-2-graphics-14-dh0112tx-2-1-laptop/p/itm3bc4572fcd0fe?pid=COMFSFNVSGVZZFCF&lid=LSTCOMFSFNVSGVZZFCFE7OY2G&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFSFNVSGVZZFCF.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹76,990"
HP 15s Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-DU1034TU Thin and Light Laptop,/hp-15s-core-i5-10th-gen-8-gb-1-tb-hdd-windows-10-home-15s-du1034tu-thin-light-laptop/p/itm29feaaca46e49?pid=COMFQN65HQXFZTYH&lid=LSTCOMFQN65HQXFZTYHFWNNWH&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFQN65HQXFZTYH.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹50,990"
HP 15s Core i5 10th Gen - (4 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) 15s-du1065TU Thin and Light...,/hp-15s-core-i5-10th-gen-4-gb-32-optane-512-ssd-windows-10-home-15s-du1065tu-thin-light-laptop/p/itm08ee10dac7a92?pid=COMFVH5QNZ66ZASF&lid=LSTCOMFVH5QNZ66ZASFVWOE2T&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=46dcadfe-dd18-4783-b3ed-726e08784618.COMFVH5QNZ66ZASF.SEARCH&ppt=sp&ppn=sp&ssid=ezl9ydyvc00000001607163293952&qH=146bdebb324a64d3,"₹49,490"
